Theme,English,English meaning,Francais
"Management, stratégie et entrepreneuriat",fiduciary duty,legal obligation to act in another's interest,devoir fiduciaire
"Management, stratégie et entrepreneuriat",figurehead,nominal leader without real power,"figure de proue, dirigeant de façade"
"Management, stratégie et entrepreneuriat",fill a position,find someone to occupy a vacancy,pourvoir un poste
"Management, stratégie et entrepreneuriat",final report,concluding document summarizing results,rapport final
"Management, stratégie et entrepreneuriat",first mover,firm entering a market before rivals,"pionnier, premier entrant"
"Management, stratégie et entrepreneuriat",first-mover advantage,benefit gained by entering a market earliest,avantage du pionnier
"Management, stratégie et entrepreneuriat",flagship product,most important and prestigious offering,produit phare
"Management, stratégie et entrepreneuriat",flat structure,organization with few hierarchical levels,"structure horizontale, organisation plate"
"Management, stratégie et entrepreneuriat",flextime,arrangement letting staff vary working hours,horaires flexibles
"Management, stratégie et entrepreneuriat",follow up,take further action after initial contact,"assurer le suivi, relancer"
"Management, stratégie et entrepreneuriat",follow-up,subsequent action continuing earlier work,"suivi, relance"
"Management, stratégie et entrepreneuriat",follow-up meeting,later session reviewing agreed actions,réunion de suivi
"Management, stratégie et entrepreneuriat",forecast,predict future figures or trends,"prévisions, projection"
"Management, stratégie et entrepreneuriat",forecasting,practice of estimating future outcomes,prévision
"Management, stratégie et entrepreneuriat",foresight,ability to anticipate future developments,"prospective, anticipation"
"Management, stratégie et entrepreneuriat",forward integration,acquiring control of one's distributors,intégration en aval
"Management, stratégie et entrepreneuriat",forward-looking,oriented toward future prospects,"tourné vers l'avenir, prospectif"
"Management, stratégie et entrepreneuriat",founder,person who establishes an organization,fondateur
"Management, stratégie et entrepreneuriat",founding team,original group creating a venture,équipe fondatrice
"Management, stratégie et entrepreneuriat",franchisee,operator licensed to run a branded outlet,franchisé
"Management, stratégie et entrepreneuriat",franchising,licensing a business format to operators,franchise
"Management, stratégie et entrepreneuriat",franchisor,owner licensing a brand to independent operators,franchiseur
"Management, stratégie et entrepreneuriat",freelancer,self-employed worker hired per assignment,"travailleur indépendant, free-lance"
"Management, stratégie et entrepreneuriat",freemium,basic service given away with paid upgrades,"freemium, modèle gratuit-payant"
"Management, stratégie et entrepreneuriat",full-time,working standard complete weekly hours,à temps plein
"Management, stratégie et entrepreneuriat",funding round,stage of raising investment capital,"tour de table, levée de fonds"
"Management, stratégie et entrepreneuriat",fundraising,activity of gathering money for a venture,"levée de fonds, collecte de fonds"
"Management, stratégie et entrepreneuriat",future-proof,designed to remain useful despite change,"pérenniser, préparer pour l'avenir"
"Management, stratégie et entrepreneuriat",gain momentum,build increasing speed and support,prendre de l'élan
"Management, stratégie et entrepreneuriat",Gantt chart,bar diagram showing the schedule of tasks,diagramme de Gantt
"Management, stratégie et entrepreneuriat",gap analysis,comparison of current state with desired state,analyse des écarts
"Management, stratégie et entrepreneuriat",get buy-in,obtain support and commitment from others,obtenir l'adhésion
"Management, stratégie et entrepreneuriat",gig economy,labour market based on short freelance jobs,économie des petits boulots
"Management, stratégie et entrepreneuriat",give a presentation,deliver a structured talk to an audience,faire une présentation
"Management, stratégie et entrepreneuriat",give feedback,offer comments on someone's performance,faire un retour
"Management, stratégie et entrepreneuriat",give the floor,allow someone to speak,donner la parole
"Management, stratégie et entrepreneuriat",glass ceiling,invisible barrier blocking promotion of minorities,plafond de verre
"Management, stratégie et entrepreneuriat",global footprint,extent of worldwide presence,"présence mondiale, implantation internationale"
"Management, stratégie et entrepreneuriat",globalization,worldwide integration of markets and production,mondialisation
"Management, stratégie et entrepreneuriat",go public,offer shares to general investors,entrer en bourse
"Management, stratégie et entrepreneuriat",go-ahead,permission to proceed,feu vert
"Management, stratégie et entrepreneuriat",go-to-market strategy,plan for reaching and selling to customers,stratégie de mise sur le marché
"Management, stratégie et entrepreneuriat",goal setting,process of defining targets to achieve,fixation d'objectifs
"Management, stratégie et entrepreneuriat",golden parachute,large payout to an executive after takeover,parachute doré
"Management, stratégie et entrepreneuriat",governance framework,structure of rules guiding organizational control,cadre de gouvernance
"Management, stratégie et entrepreneuriat",granularity,level of detail in data or planning,"niveau de détail, granularité"
"Management, stratégie et entrepreneuriat",gravitas,serious dignified bearing commanding respect,"prestance, autorité naturelle"
"Management, stratégie et entrepreneuriat",greenlight,authorize a project to proceed,donner le feu vert à
"Management, stratégie et entrepreneuriat",grievance,formal complaint about workplace treatment,"réclamation, doléance"
"Management, stratégie et entrepreneuriat",grit,persistent determination despite difficulty,"ténacité, cran"
